country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
Japan,2001,Asia,1.249393,382.016,167.865,655.581,9.818,4224163250176.0,33193.135866450066,0.021
Japan,2002,Asia,1.278995,399.142,171.773,666.48,10.033,4226576285696.0,33153.62262461209,0.021
Japan,2003,Asia,1.2874949999999998,412.504,177.168,656.529,10.084,4288493387776.0,33590.1247918022,0.022
Japan,2004,Asia,1.282895,420.467,176.08,645.38,10.037,4380398190592.0,34271.187276749966,0.022
Japan,2005,Asia,1.290296,430.874,174.702,642.359,10.087,4450600615936.0,34793.87630000817,0.023
Japan,2006,Asia,1.267295,427.99,191.339,605.588,9.901,4514225061888.0,35268.141561043565,0.024
Japan,2007,Asia,1.302996,445.459,207.774,608.164,10.173,4590814101504.0,35841.1828377192,0.024
Japan,2008,Asia,1.2321959999999998,426.743,203.313,563.407,9.615,4542408163328.0,35444.36844414086,0.025
Japan,2009,Asia,1.163393,411.9,201.07,516.483,9.075,4298103324672.0,33528.51607542537,0.025
Japan,2010,Asia,1.214798,446.507,212.062,522.307,9.477,4480295763968.0,34951.71995279052,0.026
Japan,2011,Asia,1.264797,430.97,246.731,552.861,9.874,4468738359296.0,34885.73666268657,0.026
Japan,2012,Asia,1.305998,450.458,255.914,564.639,10.209,4530172329984.0,35411.81217904722,0.027
Japan,2013,Asia,1.315298,481.655,255.328,541.959,10.298,4621006798848.0,36179.72963085197,0.027
Japan,2014,Asia,1.263806,473.225,257.329,497.145,9.913,4634693337088.0,36354.35674877203,0.028
Japan,2015,Asia,1.223199,466.243,245.234,476.886,9.611,4707025158144.0,36982.85646847052,0.029
Japan,2016,Asia,1.203184,457.145,250.763,460.518,9.462,4742508969984.0,37295.6186855973,0.029
Japan,2017,Asia,1.187484,459.108,244.803,448.259,9.346,4821960097792.0,37948.86122601256,0.03
Japan,2018,Asia,1.142481,442.511,233.268,431.787,9.002,4852985364480.0,38238.54772315551,0.03
Japan,2019,Asia,1.105478,432.809,223.405,415.812,8.725,4833468219392.0,38149.09447173327,0.031
Japan,2020,Asia,1.040483,399.497,221.932,387.124,8.238,4626661244928.0,36630.99831131955,0.031
Japan,2021,Asia,1.061905,427.989,211.002,390.515,8.449,4725883797504.0,37602.70987977253,0.032
Japan,2022,Asia,1.032687,417.193,199.73,384.784,8.262,4774494732288.0,38196.695512887745,0.032
Russia,1992,Europe,1.966505,521.601,774.35,585.385,13.205,1557839216640.0,10461.194833787931,0.064
Russia,1993,Europe,1.866729,507.516,781.669,509.992,12.602,1453307985920.0,9810.671855054465,0.065
Russia,1994,Europe,1.647665,454.67,732.937,406.8,11.118,1297672699904.0,8756.182559741133,0.066
Russia,1995,Europe,1.619727,479.041,699.582,386.793,10.923,1274033471488.0,8591.418170783398,0.067
Russia,1996,Europe,1.586822,477.466,699.775,361.332,10.716,1256336523264.0,8483.911851348736,0.068
Russia,1997,Europe,1.4822449999999998,411.997,669.233,352.956,10.025,1303661510656.0,8817.235387515173,0.068
Russia,1998,Europe,1.465253,400.631,673.399,345.571,9.925,1263722561536.0,8559.744790559986,0.069
Russia,1999,Europe,1.494179,407.464,686.577,350.395,10.148,1375023529984.0,9338.529645918286,0.07
Russia,2000,Europe,1.479142,427.01,681.631,317.516,10.082,1547057496064.0,10544.44426494337,0.07
Russia,2001,Europe,1.515647,445.476,693.223,323.3,10.373,1662886739968.0,11380.492616363195,0.071
